id;bathrooms;bedrooms;price;square_feet;cityname;state;latitude;longitude;time;amenities_count;category_housing/rent/home;category_housing/rent/short_term;has_photo_Thumbnail;has_photo_Yes;pets_allowed_Cats,Dogs;pets_allowed_Dogs;pets_allowed_No;source_Home Rentals;source_Listanza;source_ListedBuy;source_RENTCaf�;source_RENTOCULAR;source_Real Estate Agent;source_RealRentals;source_RentDigs.com;source_RentLingo;source_rentbits;source_tenantcloud
5668626895;1;0;790;101;1468;7;38,9057;-76,9861;1577359415;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5664597177;1;1;425;106;449;15;37,968;-87,6621;1577017063;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5668626833;1;0;1390;107;52;45;38,891;-77,0816;1577359410;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5659918074;1;0;925;116;1285;47;47,616;-122,3275;1576667743;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5668626759;1;0;880;125;52;45;38,8738;-77,1055;1577359401;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5667891676;1;0;2475;130;821;34;40,7629;-73,9885;1577289784;5;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
5668627426;1;0;1800;132;1446;4;33,9932;-118,4609;1577359461;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5668626687;1;0;840;136;1468;7;38,9328;-77,0297;1577359393;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5668610290;1;0;1495;138;1247;4;37,7599;-122,4379;1577358313;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5668627023;1;0;890;141;1468;7;38,9118;-77,0132;1577359424;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5668627099;1;0;990;146;1468;7;38,9118;-77,0132;1577359430;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5668626548;1;0;840;150;1468;7;38,9118;-77,0132;1577359381;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5664598162;1;1;1795;156;1418;3;32,2264;-110,9438;1577017148;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
5668626900;1;0;1090;178;1468;7;38,9118;-77,0132;1577359415;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5664571820;1;0;1695;190;1247;4;37,7599;-122,4379;1577015121;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5659276240;1;1;3933;200;966;27;35,0847;-77,0609;1576618076;8;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
5654898031;1;1;1560;200;966;27;35,096;-77,0272;1576406273;8;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
5664574876;1;1;1000;200;1341;43;30,0871;-95,4685;1577015327;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5668633573;1;1;950;200;1438;4;38,1172;-122,2313;1577359918;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5668624220;1;1;625;200;835;10;33,9649;-84,5107;1577359224;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5653564493;1;1;600;200;258;27;35,2016;-80,8124;1576322215;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5668622178;1;1;544;200;1385;9;30,4601;-84,2714;1577359108;7;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5664567303;1;1;525;200;69;43;30,3054;-97,7497;1577014825;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
5664577209;1;1;450;200;1100;3;33,5178;-112,0848;1577015539;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
